address,name,rubrics,attributes,address.postcode,lat,lon,reviews.general_rating,reviews.general_review_count,reviews.general_review_count_with_stars,reviews.is_reviewable,reviews.is_reviewable_on_flamp,reviews.items,reviews.org_rating,reviews.org_review_count,reviews.org_review_count_with_stars,address_comment,city,rubrics_new,district,postcode_3
Ясеневая улица,"Мелодия, караоке-бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'primary', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}, {'alias': 'bilyardnye_zaly', 'id': '169', 'kind': 'additional', 'name': 'Бильярдные залы', 'parent_id': '2', 'short_id': 169}]",,108802.0,55.569069,37.441847,,,5.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",,,5.0,,Москва,"Бары, Караоке-залы, Доставка еды, Бильярдные залы",,108
улица Александры Монаховой,"Гугельбир, паб","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}]",,108814.0,55.574989,37.473468,5.0,4.0,8.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",5.0,4.0,8.0,1 этаж,Москва,Бары,,108
Варшавское шоссе,"Tantra lounge&bar, лаундж-бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'additional', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'additional', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",1800.0,117405.0,55.582801,37.595531,4.6,12.0,13.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.6,12.0,13.0,3 этаж,Москва,"Бары, Рестораны, Караоке-залы, Центры паровых коктейлей",Нагорный район,117
Варшавское шоссе,"Tantra lounge&bar, лаундж-бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'additional', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'additional', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",1800.0,117405.0,55.582801,37.595531,4.6,12.0,13.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.6,12.0,13.0,3 этаж,Москва,"Бары, Рестораны, Караоке-залы, Центры паровых коктейлей",Нагорный район,117
Варшавское шоссе,"Tantra lounge&bar, лаундж-бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'additional', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'additional', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",1800.0,117405.0,55.582801,37.595531,4.6,12.0,13.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.6,12.0,13.0,3 этаж,Москва,"Бары, Рестораны, Караоке-залы, Центры паровых коктейлей",Нагорный район,117
Варшавское шоссе,"Tantra lounge&bar, лаундж-бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'additional', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'additional', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",1800.0,117405.0,55.582801,37.595531,4.6,12.0,13.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.6,12.0,13.0,3 этаж,Москва,"Бары, Рестораны, Караоке-залы, Центры паровых коктейлей",Нагорный район,117
Варшавское шоссе,"Tantra lounge&bar, лаундж-бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'additional', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}, {'alias': 'centry_parovykh_koktejjlejj', 'id': '110357', 'kind': 'additional', 'name': 'Центры паровых коктейлей', 'parent_id': '2', 'short_id': 110357}]",1800.0,117405.0,55.582801,37.595531,4.6,12.0,13.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.6,12.0,13.0,3 этаж,Москва,"Бары, Рестораны, Караоке-залы, Центры паровых коктейлей",Нагорный район,117
бульвар Дмитрия Донского,"Zames, гриль-бар","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",,117628.0,55.574498,37.579875,4.3,13.0,18.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",4.8,1077.0,37290.0,0 этаж,Москва,"Бары, Рестораны, Доставка еды",Нагорный район,117
Куликовская улица,"Shemodi, ресторан","[{'alias': 'bary', 'id': '159', 'kind': 'additional', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'restorany', 'id': '164', 'kind': 'primary', 'name': 'Рестораны', 'parent_id': '2', 'short_id': 164}, {'alias': 'dostavka_edy', 'id': '1203', 'kind': 'additional', 'name': 'Доставка еды', 'parent_id': '2', 'short_id': 1203}]",1500.0,117628.0,55.57422,37.565029,4.5,29.0,36.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",3.8,31.0,39.0,0 этаж,Москва,"Бары, Рестораны, Доставка еды",район Ясенево,117
Ратная улица,"Кот Ч, ресторан-клуб","[{'alias': 'bary', 'id': '159', 'kind': 'primary', 'name': 'Бары', 'parent_id': '2', 'short_id': 159}, {'alias': 'nochnye_kluby', 'id': '173', 'kind': 'additional', 'name': 'Ночные клубы', 'parent_id': '2', 'short_id': 173}, {'alias': 'karaoke_zaly', 'id': '21387', 'kind': 'additional', 'name': 'Караоке-залы', 'parent_id': '2', 'short_id': 21387}]",,117628.0,55.577273,37.570867,3.8,29.0,34.0,True,True,"[{'is_reviewable': True, 'tag': '2gis_reviews'}, {'is_reviewable': True, 'tag': 'flamp'}]",3.8,29.0,34.0,цокольный этаж,Москва,"Бары, Ночные клубы, Караоке-залы",Нагорный район,117
